SampleID,F1,F5,F7,F8,F9,F16,F18,F21,F23,F24,F30,F32,F33,F35,F37,F38,F39,F40,F43,F44,F48
M1,49,0,12,36,9974,666,0,0,1164,9,0,9,57,0,48,5,5,107,43,3,3
M2,91,0,27,238,7133,839,0,1,1588,2,79,51,375,0,70,35,15,123,262,3,79
M3,291,4,10,1308,4641,418,0,0,1176,2,42,331,778,0,14,18,105,458,1591,54,119
M4,142,2,3,1128,6228,475,0,1,1005,0,15,122,901,0,9,16,190,424,849,41,26
M5,147,0,0,325,9001,250,0,3,681,0,0,9,647,0,0,17,224,1455,78,6,2
M6,138,2,0,1541,5159,548,0,0,1433,0,30,136,1093,0,14,19,79,307,361,33,238
M7,243,1,4,759,6486,660,0,2,2083,1,34,176,1207,0,11,45,68,590,190,37,86
M8,91,1,9,503,6842,691,1,2,1404,0,79,129,798,0,39,13,34,152,279,22,333
M9,24,0,9,64,6700,1294,1,0,1559,1,233,22,97,0,44,0,2,62,27,3,42
M10,210,4,2,1045,6022,498,0,1,1226,2,68,249,1226,0,3,50,107,609,656,116,141
M11,416,0,0,556,7885,573,0,2,1462,9,58,5,402,0,7,39,28,972,205,12,96
M12,145,1,1,484,9661,292,1,0,458,4,0,17,1250,0,5,383,157,481,117,28,11
M13,115,0,1,211,10720,236,0,0,849,0,0,1,234,0,7,6,207,1087,67,0,3
M14,162,1,6,1737,6085,399,0,0,1821,0,0,14,372,0,24,15,176,698,1020,35,5
M15,111,0,1,366,10220,525,0,0,886,0,0,21,242,0,0,6,47,443,88,8,1
M16,152,0,0,1455,5872,510,6,1,1458,0,0,20,549,0,5,5,252,613,634,48,3
M17,95,0,2,187,10266,505,0,0,937,0,0,2,786,1,4,4,22,332,326,2,2
M64,100,1,5,595,6509,806,0,0,608,0,10,190,1359,2,22,7,55,634,278,59,27
M19,44,0,0,438,8718,759,0,19,223,0,5,291,155,9,11,8,4,387,280,5,7
M20,43,0,15,3964,197,79,0,7025,126,0,5,65,15,35,101,115,77,151,3,57,3
M21,59,0,0,5,8640,329,0,0,440,0,0,1,425,0,1,0,87,2391,179,1,1
M22,68,0,1,217,7992,762,0,0,896,0,14,66,704,11,14,10,3,276,81,2,33
M23,25,0,4,67,9711,908,0,0,503,0,7,40,1108,0,10,10,1,353,118,0,82
M24,77,1,1,314,8813,1135,0,0,598,0,3,94,363,0,0,4,2,304,140,0,22
M25,261,0,1,125,8293,1089,0,0,1007,0,18,10,702,0,35,78,8,385,59,2,26
M26,108,0,7,445,7808,1131,0,1,309,0,8,173,1565,0,4,78,16,537,309,31,87
M27,67,1,7,281,8524,1043,0,1,517,0,14,127,791,0,13,2,10,420,414,21,152
M28,177,1,0,546,5735,1277,0,1,620,0,6,201,722,3,2,48,17,944,189,16,167
M29,46,0,7,98,11968,703,0,2,282,0,0,8,112,0,37,3,44,341,72,8,1
M30,151,0,5,170,10327,764,0,1,905,2,1,3,114,4,19,1,19,209,97,9,102
M31,103,0,4,1032,6173,1104,0,1,669,0,16,347,1203,19,21,71,146,374,294,75,141
M32,84,0,0,80,9433,1333,0,0,480,1,0,0,140,0,9,9,24,950,97,0,0
M33,102,1,12,84,10204,610,0,1,349,0,0,1,620,0,17,2,54,1026,170,19,2
M34,152,0,1,763,5260,542,0,0,474,0,8,345,1742,0,2,25,27,1126,736,30,114
M35,68,0,3,1007,6126,406,1,2,304,0,7,632,1458,0,13,65,20,795,881,14,82
M36,138,0,1,5143,3485,402,0,1,543,0,12,200,305,100,9,88,41,364,20,99,25
M37,67,12,5,64,7931,253,1,9,68,0,0,21,730,0,6,21,163,3509,244,46,0
M38,96,0,30,661,8011,420,0,1,582,0,9,0,1417,1,93,42,31,816,0,33,84
M39,115,0,0,827,6475,749,0,0,509,0,6,267,1820,0,0,295,31,561,135,36,136
M40,189,2,16,856,6681,991,0,2,664,0,17,105,1448,0,36,97,26,384,196,24,126
M41,136,0,1,411,8826,1158,0,0,902,8,0,225,348,1,3,22,28,328,128,54,35
M42,91,2,4,407,8782,953,0,0,125,1,3,49,1837,0,10,258,12,474,236,19,23
M43,5,62,0,14,11436,324,0,0,11,1,0,0,1013,0,11,0,19,794,143,11,0
M44,183,1,0,814,6962,599,0,0,564,8,7,105,1896,0,2,132,23,843,135,17,189
M45,124,0,4,946,8047,1244,0,2,701,23,1,330,408,0,63,19,67,561,289,48,74
