SampleID,OTU_1,OTU_10,OTU_100,OTU_102,OTU_11,OTU_12,OTU_129,OTU_13,OTU_136,OTU_137,OTU_14,OTU_145,OTU_148,OTU_15,OTU_16,OTU_17,OTU_18,OTU_19,OTU_2,OTU_20,OTU_21,OTU_22,OTU_23,OTU_24,OTU_25,OTU_26,OTU_27,OTU_28,OTU_29,OTU_3,OTU_30,OTU_31,OTU_32,OTU_33,OTU_34,OTU_35,OTU_36,OTU_37,OTU_38,OTU_39,OTU_4,OTU_40,OTU_41,OTU_42,OTU_43,OTU_44,OTU_45,OTU_46,OTU_47,OTU_48,OTU_49,OTU_5,OTU_50,OTU_51,OTU_52,OTU_53,OTU_54,OTU_55,OTU_56,OTU_58,OTU_59,OTU_6,OTU_60,OTU_61,OTU_63,OTU_65,OTU_7,OTU_72,OTU_73,OTU_8,OTU_87,OTU_9,OTU_90
M1,6206,38,36,3,172,0,261,160,0,0,106,39,0,9,0,3,7,18,1746,49,0,15,205,63,20,3,5,0,0,255,7,3,32,3,0,73,15,6,7,0,681,194,2,0,0,0,45,0,0,23,9,36,16,3,5,0,4,12,0,7,0,315,2,2,0,0,13,171,184,189,4,684,4
M2,5879,214,3,1,104,0,35,256,0,0,117,3,0,11,0,53,60,34,599,91,0,9,124,61,0,48,37,0,12,443,24,23,68,3,0,3,21,2,54,4,15,27,8,0,0,79,70,1,0,53,2,238,2,21,3,23,4,27,0,2,0,265,5,6,4,1,279,135,112,478,6,666,49
M3,3069,1496,2,18,184,0,53,236,55,0,16,1,0,127,0,99,72,21,907,292,0,33,133,103,0,326,18,2,65,128,104,32,3,54,0,69,11,3,5,5,73,27,119,0,0,42,14,66,1,28,2,1310,47,0,40,0,4,10,4,0,0,159,5,0,0,0,593,73,65,643,1,247,28
M4,4873,650,8,13,64,0,14,170,56,0,63,17,0,44,0,14,244,59,277,142,0,73,196,136,0,102,9,14,153,295,44,52,32,40,0,33,6,6,3,15,74,21,56,0,0,15,9,4,7,29,0,1128,88,110,37,8,0,3,2,0,0,534,0,8,5,0,621,50,59,450,3,291,24
M5,6519,11,13,4,17,0,33,68,32,0,55,19,0,261,0,0,80,173,1764,147,0,221,42,583,50,2,19,0,221,147,109,72,11,6,0,13,1,9,1,0,162,16,141,0,0,0,0,0,0,2,0,326,0,0,3,0,0,0,0,0,0,180,4,31,7,0,358,68,221,392,9,159,1
M6,3571,275,9,17,152,0,10,375,59,0,85,0,0,39,0,235,117,24,647,139,0,41,138,104,174,82,19,17,61,266,54,61,35,33,0,11,20,11,3,3,65,14,40,0,0,30,14,0,0,23,0,1526,372,5,18,0,15,0,2,0,13,271,5,2,8,22,717,59,23,385,1,540,21
M7,4810,147,7,8,104,0,103,362,31,1,74,3,0,44,0,78,48,181,733,243,0,83,161,139,384,135,46,2,50,180,52,14,51,36,0,5,16,46,74,4,100,43,112,0,1,34,10,0,1,9,1,758,10,2,18,4,8,4,1,4,0,421,9,3,8,0,715,226,73,876,0,759,3
M8,5018,219,7,6,158,0,27,331,21,0,98,1,1,36,0,330,73,16,825,91,0,16,205,28,190,86,13,17,22,377,37,25,32,22,0,28,21,13,9,15,72,19,35,0,0,79,37,0,0,33,0,496,232,6,12,0,14,9,1,1,17,336,8,1,3,10,502,70,35,395,4,504,21
M9,5233,20,11,0,165,0,5,451,4,0,21,8,0,9,0,40,7,11,521,24,0,9,153,16,49,17,0,3,2,727,8,0,74,3,0,22,49,2,16,13,181,13,13,1,0,233,42,0,0,65,1,64,108,12,0,0,3,9,0,0,0,352,11,2,0,0,23,234,68,370,5,645,9
M10,4970,487,1,18,96,0,102,102,25,0,34,8,0,105,0,30,156,87,178,210,0,95,100,202,35,198,51,31,55,258,125,138,51,115,0,23,5,14,9,0,78,41,95,0,0,68,3,58,0,25,2,1045,14,0,52,93,21,2,4,1,0,371,2,0,2,8,845,72,78,614,6,447,45
M11,5297,139,9,8,131,0,145,172,23,0,203,3,0,111,0,92,87,235,1238,416,0,54,280,408,0,1,40,0,26,130,51,39,22,12,0,8,8,4,95,2,241,95,141,0,0,58,6,0,0,11,9,556,10,0,2,0,1,0,0,1,0,365,5,0,12,0,270,168,152,642,4,433,22
M12,6662,27,29,50,17,0,0,25,3,0,137,60,0,36,0,0,116,194,165,145,0,132,152,41,99,12,394,0,123,97,55,108,13,28,0,11,5,5,84,0,1761,18,75,1,0,0,0,0,0,6,4,484,6,3,34,0,0,1,1,2,0,395,4,17,8,0,884,74,386,80,2,207,8
M13,9414,7,0,0,10,0,55,69,1,0,45,8,0,258,0,0,73,220,433,115,0,214,55,238,0,1,6,0,206,152,16,12,0,0,0,7,0,0,1,0,72,10,110,0,0,0,7,0,0,3,0,211,0,7,1,0,0,1,0,2,0,343,0,9,14,0,163,67,310,425,2,306,6
M14,4031,871,14,37,50,0,116,236,10,0,386,0,0,107,0,2,194,162,543,163,0,103,191,206,0,0,15,0,108,121,61,130,0,36,0,60,12,15,84,11,69,25,110,0,0,0,24,0,0,0,0,1737,0,7,68,0,0,6,1,1,0,613,0,7,8,0,76,112,300,210,2,987,119
M15,7755,48,31,0,21,0,0,163,1,0,51,47,0,9,0,0,52,365,440,111,0,28,211,29,67,17,6,0,42,296,16,24,9,8,0,9,5,6,106,0,1166,24,11,0,0,0,0,0,0,16,0,367,6,0,5,0,0,1,0,0,0,245,2,4,1,0,115,85,239,275,2,376,42
M16,4990,479,3,9,47,0,57,212,2,0,54,12,0,105,0,0,202,128,256,152,0,117,69,159,26,0,6,0,245,261,81,78,10,48,0,68,1,8,64,3,66,30,65,0,0,0,5,0,0,36,0,1456,0,63,7,0,5,0,0,0,0,211,2,3,13,12,223,114,81,716,8,439,17
M17,8195,288,9,2,47,0,24,0,0,0,276,8,0,53,0,0,43,117,480,95,0,52,162,56,29,1,4,0,14,288,36,5,0,2,1,27,10,1,20,0,950,97,54,0,0,0,2,0,0,2,0,187,0,6,8,0,0,2,0,0,0,281,0,4,6,0,693,124,16,250,7,408,2
M64,3708,104,28,3,123,0,1,73,80,0,45,11,0,165,0,6,219,79,1777,100,0,84,347,102,0,38,2,147,35,616,10,10,12,59,2,33,10,5,0,8,157,11,124,0,0,10,22,9,5,23,0,597,337,3,20,17,4,5,1,1,0,38,32,1,5,0,1268,33,0,296,7,168,13
M19,2814,229,6,3,65,19,1,87,5,0,5,0,0,66,1,0,53,241,3854,44,1,20,906,27,5,101,0,190,0,585,7,17,20,5,9,10,10,0,0,17,6,46,28,0,0,5,11,18,8,8,0,436,329,0,4,0,0,0,0,2,0,54,76,0,0,0,110,59,528,26,19,79,62
