SampleID,P1,P2,P5,P6,P7,P8,P9
M1,10655,145,1420,0,14,0,3
M2,7979,950,1996,1,56,0,54
M3,5069,4026,2007,0,181,4,99
M4,6708,3009,1599,1,251,2,17
M5,9252,1059,2285,3,251,0,0
M6,5711,3131,1931,0,139,2,236
M7,7151,2336,2969,2,164,1,80
M8,7537,1709,1784,2,70,1,333
M9,8006,210,1938,0,8,0,42
M10,6526,3284,2125,1,276,4,32
M11,8462,1168,2926,2,81,0,95
M12,9953,1868,1095,0,584,1,1
M13,10958,513,2059,0,218,0,1
M14,6485,3143,2727,0,242,1,3
M15,10746,717,1442,0,72,0,1
M16,6383,2658,2229,1,318,0,1
M17,10774,1301,1372,0,28,0,2
M64,7316,2441,1385,0,123,1,8
M19,9478,1171,681,19,17,0,0
M20,280,4047,568,7025,250,0,3
M21,8969,610,2891,0,88,0,1
M22,8757,1073,1296,0,16,0,28
M23,10623,1401,905,0,11,0,14
M24,9948,916,987,0,6,1,17
M25,9385,896,1712,0,104,0,20
M26,8942,2553,975,1,134,0,22
M27,9568,1614,1045,1,39,1,151
M28,7012,1723,1754,1,87,1,100
M29,12674,290,719,2,65,0,1
M30,11092,385,1299,1,53,0,101
M31,7282,3013,1208,1,300,0,2
M32,10766,317,1528,0,38,0,0
M33,10816,876,1535,1,92,1,0
M34,5802,3685,1766,0,113,0,15
M35,6536,4036,1197,2,119,0,22
M36,3887,5692,1170,1,233,0,0
M37,8185,1059,3667,9,346,12,0
M38,8435,2078,1647,1,138,0,83
M39,7224,3161,1192,0,369,0,18
M40,7672,2605,1313,2,150,2,124
M41,9984,1112,1380,0,110,0,35
M42,9736,2535,717,0,307,2,4
M43,11760,1170,828,0,54,62,0
M44,7563,2979,1609,0,181,1,155
M45,9299,1973,1487,2,150,0,73
M46,9165,913,1621,0,35,0,0
M47,8591,2613,1644,0,340,3,133
M48,9745,812,2534,0,169,12,1
M63,10853,809,1276,0,300,26,0
M49,4236,2909,1208,0,29,1,79
M65,6907,310,1093,80,958,0,10
M50,5426,3937,2405,0,96,0,105
M67,7352,1309,2503,0,166,20,1
M51,4282,1984,1645,3,54,4,214
M69,7839,3857,988,0,70,0,11
M52,2090,5911,1153,0,180,1,17
M71,9477,1148,1417,0,303,1,0
M53,7080,3211,2164,0,254,2,19
M54,6113,3262,2247,0,54,10,0
M74,7788,1411,1821,0,223,138,18
M55,5914,2160,1726,0,17,0,81
M56,10543,481,991,1,20,0,2
M57,10896,1285,1925,0,23,0,3
M58,7242,1670,1667,6,335,15,1
