,TaxID,Group,Abund,PlotName,Level,Symbol
1,P1,WBS Day -56,-0.2054784465,Actinobacteria,Phylum,
2,P1,WBS Day -7,0.0985918349,Actinobacteria,Phylum,
3,P1,WBS Day 21,-0.4397174581,Actinobacteria,Phylum,
4,P1,"WBS Day 49
(healthy)",-1.1871810029,Actinobacteria,Phylum,
5,P1,"WBS Day 49
(pathology)",-0.4548451884,Actinobacteria,Phylum,
6,P1,YBS Day -56,0.05820859,Actinobacteria,Phylum,
7,P1,YBS Day -7,0.6424916578,Actinobacteria,Phylum,
8,P1,YBS Day 21,0.4043998957,Actinobacteria,Phylum,
9,P1,"YBS Day 49
(healthy)",-0.3433734681,Actinobacteria,Phylum,
10,P1,"YBS Day 49
(pathology)",0.5022396047,Actinobacteria,Phylum,
11,P2,WBS Day -56,0.0524429878,Bacteroidetes,Phylum,
12,P2,WBS Day -7,-0.2829008668,Bacteroidetes,Phylum,
13,P2,WBS Day 21,0.6330324275,Bacteroidetes,Phylum,
14,P2,"WBS Day 49
(healthy)",1.3590095346,Bacteroidetes,Phylum,
15,P2,"WBS Day 49
(pathology)",0.5007665907,Bacteroidetes,Phylum,
16,P2,YBS Day -56,-0.2710444519,Bacteroidetes,Phylum,
17,P2,YBS Day -7,-0.4660647086,Bacteroidetes,Phylum,
18,P2,YBS Day 21,-0.2725420797,Bacteroidetes,Phylum,
19,P2,"YBS Day 49
(healthy)",0.3307473055,Bacteroidetes,Phylum,
20,P2,"YBS Day 49
(pathology)",-0.5472485755,Bacteroidetes,Phylum,
23,P5,WBS Day -56,0.6328884212,Firmicutes,Phylum,
24,P5,WBS Day -7,-0.6428585483,Firmicutes,Phylum,
25,P5,WBS Day 21,0.0089777258,Firmicutes,Phylum,
26,P5,"WBS Day 49
(healthy)",0.6888279543,Firmicutes,Phylum,
27,P5,"WBS Day 49
(pathology)",0.0497392987,Firmicutes,Phylum,
28,P5,YBS Day -56,0.6133175089,Firmicutes,Phylum,
29,P5,YBS Day -7,-0.6126406459,Firmicutes,Phylum,
30,P5,YBS Day 21,-0.4267978651,Firmicutes,Phylum,
31,P5,"YBS Day 49
(healthy)",0.6178067001,Firmicutes,Phylum,
32,P5,"YBS Day 49
(pathology)",-0.1826028184,Firmicutes,Phylum,
33,P6,WBS Day -56,-0.1268377388,Fusobacteria,Phylum,
34,P6,WBS Day -7,0.8750520579,Fusobacteria,Phylum,
35,P6,WBS Day 21,-0.1259391908,Fusobacteria,Phylum,
36,P6,"WBS Day 49
(healthy)",-0.1281250727,Fusobacteria,Phylum,
37,P6,"WBS Day 49
(pathology)",-0.107521234,Fusobacteria,Phylum,
38,P6,YBS Day -56,-0.1275617738,Fusobacteria,Phylum,
39,P6,YBS Day -7,-0.1271529574,Fusobacteria,Phylum,
40,P6,YBS Day 21,-0.1278580832,Fusobacteria,Phylum,
41,P6,"YBS Day 49
(healthy)",-0.1281250727,Fusobacteria,Phylum,
42,P6,"YBS Day 49
(pathology)",-0.1259351678,Fusobacteria,Phylum,
43,P7,WBS Day -56,-0.1150943143,Proteobacteria,Phylum,
44,P7,WBS Day -7,-0.5402898861,Proteobacteria,Phylum,
45,P7,WBS Day 21,0.173365333,Proteobacteria,Phylum,
46,P7,"WBS Day 49
(healthy)",-0.5319817889,Proteobacteria,Phylum,
47,P7,"WBS Day 49
(pathology)",1.0170397204,Proteobacteria,Phylum,
48,P7,YBS Day -56,0.2775788485,Proteobacteria,Phylum,
49,P7,YBS Day -7,-0.3454464496,Proteobacteria,Phylum,
50,P7,YBS Day 21,-0.045689109,Proteobacteria,Phylum,
51,P7,"YBS Day 49
(healthy)",-0.4465373674,Proteobacteria,Phylum,
52,P7,"YBS Day 49
(pathology)",0.3781198362,Proteobacteria,Phylum,
53,P8,WBS Day -56,-0.1991810925,Tenericutes,Phylum,
54,P8,WBS Day -7,-0.2527365347,Tenericutes,Phylum,
55,P8,WBS Day 21,-0.1778149988,Tenericutes,Phylum,
56,P8,"WBS Day 49
(healthy)",-0.2296863208,Tenericutes,Phylum,
57,P8,"WBS Day 49
(pathology)",0.1766073323,Tenericutes,Phylum,
58,P8,YBS Day -56,-0.2291247092,Tenericutes,Phylum,
59,P8,YBS Day -7,-0.2526394958,Tenericutes,Phylum,
60,P8,YBS Day 21,0.1821063353,Tenericutes,Phylum,
61,P8,"YBS Day 49
(healthy)",-0.1102825564,Tenericutes,Phylum,
62,P8,"YBS Day 49
(pathology)",1.8189957098,Tenericutes,Phylum,
1100,F1,WBS Day -56,0.3357952539,Acidaminococcaceae,Family,
2100,F1,WBS Day -7,-0.7251958109,Acidaminococcaceae,Family,
3100,F1,WBS Day 21,-0.0868422877,Acidaminococcaceae,Family,
4100,F1,"WBS Day 49
(healthy)",1.2884403179,Acidaminococcaceae,Family,
