,TaxID,Level,PlotName,variable,value,Symbol
1,P1,Phylum,Actinobacteria,"WBS
Days -56 to -7",0.7612738156,
2,P2,Phylum,Bacteroidetes,"WBS
Days -56 to -7",-0.8314077289,
3,P5,Phylum,Firmicutes,"WBS
Days -56 to -7",-1.7016106705,
4,P6,Phylum,Fusobacteria,"WBS
Days -56 to -7",3.9575947746,
5,P7,Phylum,Proteobacteria,"WBS
Days -56 to -7",-0.7063768806,
6,P8,Phylum,Tenericutes,"WBS
Days -56 to -7",-0.1234361944,
7,F1,Family,Acidaminococcaceae,"WBS
Days -56 to -7",-1.8015797682,
8,F16,Family,Coriobacteriaceae,"WBS
Days -56 to -7",0.3323674081,
9,F18,Family,Enterobacteriaceae,"WBS
Days -56 to -7",-0.0051572659,
10,F23,Family,Lachnospiraceae,"WBS
Days -56 to -7",-1.69420389,
11,F32,Family,Porphyromonadaceae,"WBS
Days -56 to -7",-0.2130728,
12,F33,Family,Prevotellaceae,"WBS
Days -56 to -7",-0.4581812877,
13,F39,Family,Sutterellaceae,"WBS
Days -56 to -7",-1.6495319919,
14,F40,Family,Veillonellaceae,"WBS
Days -56 to -7",0.4378586436,
15,F5,Family,Anaeroplasmataceae,"WBS
Days -56 to -7",-0.1233886238,
16,F9,Family,Bifidobacteriaceae,"WBS
Days -56 to -7",0.7922489202,
17,G13,Genus,Bifidobacterium,"WBS
Days -56 to -7",0.766198368,
18,G44,Genus,Megasphaera,"WBS
Days -56 to -7",1.0908013055,
19,G54,Genus,Phascolarctobacterium,"WBS
Days -56 to -7",-1.9215216222,
20,G66,Genus,Succinatimonas,"WBS
Days -56 to -7",2.1125149589,
21,G67,Genus,Sutterella,"WBS
Days -56 to -7",-1.649148898,
22,G8,Genus,Asteroleplasma,"WBS
Days -56 to -7",-0.1234897578,
23,OTU_129,OTU,OTU129 Bifidobacterium hapali,"WBS
Days -56 to -7",-1.6856972531,
24,OTU_13,OTU,OTU13 Lachnospiraceae sp.,"WBS
Days -56 to -7",-2.3451278421,
25,OTU_136,OTU,OTU136 Megamonas sp.,"WBS
Days -56 to -7",-0.2681354233,
26,OTU_14,OTU,OTU14 Lachnospiraceae sp.,"WBS
Days -56 to -7",-0.165042882,
27,OTU_145,OTU,OTU145 Bifidobacterium avesanii,"WBS
Days -56 to -7",0.0124020433,
