TaxID,Species,PlotName,Identity
OTU_1,Bifidobacterium callitrichos,OTU1 Bifidobacterium callitrichos,100
OTU_2,Bifidobacterium aesculapii,OTU2 Bifidobacterium aesculapii,100
OTU_3,Parolsenella catena,OTU3 Parolsenella catena,96.59
OTU_4,Bifidobacterium dentium,OTU4 Bifidobacterium dentium,97.34
OTU_5,Bacteroides sp.,OTU5 Bacteroides sp.,93.4
OTU_6,Bifidobacterium reuteri,OTU6 Bifidobacterium reuteri,98.54
OTU_7,Prevotella sp.,OTU7 Prevotella sp.,83.73
OTU_8,Lachnospiraceae sp.,OTU8 Lachnospiraceae sp.,96.29
OTU_9,Lachnospiraceae sp.,OTU9 Lachnospiraceae sp.,95.79
OTU_10,Bacteroides salanitronis,OTU10 Bacteroides salanitronis,91.27
OTU_11,Olsenella sp.,OTU11 Olsenella sp.,98.78
OTU_12,Fusobacterium varium,OTU12 Fusobacterium varium,100
OTU_13,Lachnospiraceae sp.,OTU13 Lachnospiraceae sp.,95.3
OTU_14,Lachnospiraceae sp.,OTU14 Lachnospiraceae sp.,96.31
OTU_15,Megasphaera paucivorans,OTU15 Megasphaera paucivorans,95.57
OTU_16,Bacteroides dorei,OTU16 Bacteroides dorei,100
OTU_17,Saccharimonas sp.,OTU17 Saccharimonas sp.,94.57
OTU_18,Prevotella sp.,OTU18 Prevotella sp.,84.43
OTU_19,Megamonas sp.,OTU19 Megamonas sp.,95.8
OTU_20,Phascolarctobacterium succinatutens,OTU20 Phascolarctobacterium succinatutens,92.31
OTU_21,Bacteroides ovatus,OTU21 Bacteroides ovatus,100
OTU_22,Megasphaera paucivorans,OTU22 Megasphaera paucivorans,94.17
OTU_23,Bifidobacterium hapali,OTU23 Bifidobacterium hapali,96.76
OTU_24,Megamonas sp.,OTU24 Megamonas sp.,97.9
OTU_25,Alloprevotella sp.,OTU25 Alloprevotella sp.,87.97
OTU_26,Parabacteroides sp.,OTU26 Parabacteroides sp.,92.92
OTU_27,Succinivibrio sp.,OTU27 Succinivibrio sp.,89.83
OTU_28,Parabacteroides sp.,OTU28 Parabacteroides sp.,96.23
OTU_29,Sutterella wadsworthensis,OTU29 Sutterella wadsworthensis,96.74
OTU_30,Prevotella sp.,OTU30 Prevotella sp.,91.04
OTU_31,Prevotella buccae,OTU31 Prevotella buccae,84.21
OTU_32,Parolsenella sp.,OTU32 Parolsenella sp.,96.83
OTU_33,Parasutterella sp.,OTU33 Parasutterella sp.,99.77
OTU_34,Flavonifractor plautii,OTU34 Flavonifractor plautii,99.75
OTU_35,Bifidobacterium moukalabense,OTU35 Bifidobacterium moukalabense,96.82
OTU_36,Paraeggerthella hongkongensis,OTU36 Paraeggerthella hongkongensis,97.03
OTU_37,Muribaculaceae sp.,OTU37 Muribaculaceae sp.,87.94
OTU_38,Parolsenella sp.,OTU38 Parolsenella sp.,97.32
OTU_39,Collinsella tanakaei,OTU39 Collinsella tanakaei,96.04
OTU_40,Bifidobacterium goeldii,OTU40 Bifidobacterium goeldii,98.29
OTU_41,Megasphaera paucivorans,OTU41 Megasphaera paucivorans,94.41
OTU_42,Enterobacter hormaechei,OTU42 Enterobacter hormaechei,100
OTU_43,Bacteroides uniformis,OTU43 Bacteroides uniformis,99.76
OTU_44,Peptococcaceae sp.,OTU44 Peptococcaceae sp.,96.73
OTU_45,Streptococcus sp.,OTU45 Streptococcus sp.,97.9
OTU_46,Muribaculaceae sp.,OTU46 Muribaculaceae sp.,88.89
OTU_47,Succinatimonas hippei,OTU47 Succinatimonas hippei,96.1
OTU_48,Blautia stercoris,OTU48 Blautia stercoris,90.35
OTU_49,Lactobacillus delbrueckii,OTU49 Lactobacillus delbrueckii,100
OTU_50,Bifidobacterium callimiconis,OTU50 Bifidobacterium callimiconis,98.04
OTU_51,Prevotella buccae,OTU51 Prevotella buccae,84.93
OTU_52,Sutterella wadsworthensis,OTU52 Sutterella wadsworthensis,98.37
OTU_53,Muribaculaceae sp.,OTU53 Muribaculaceae sp.,84.87
OTU_54,Prevotella sp.,OTU54 Prevotella sp.,92.45
OTU_55,Gemella haemolysans,OTU55 Gemella haemolysans,99.07
OTU_56,Anaeroplasmataceae sp.,OTU56 Anaeroplasmataceae sp.,95.31
OTU_58,Bifidobacterium catulorum,OTU58 Bifidobacterium catulorum,100
OTU_59,Kineothrix sp.,OTU59 Kineothrix sp.,97.03
OTU_60,Bifidobacterium pullorum,OTU60 Bifidobacterium pullorum,97.8
OTU_61,Prevotella sp.,OTU61 Prevotella sp.,83.25
OTU_63,Prevotella buccae,OTU63 Prevotella buccae,87.32
OTU_65,Muribaculaceae sp.,OTU65 Muribaculaceae sp.,88.89
OTU_72,Parolsenella catena,OTU72 Parolsenella catena,96.1
OTU_73,Bifidobacterium tissierii,OTU73 Bifidobacterium tissierii,99.27
OTU_87,Bifidobacterium myosotis,OTU87 Bifidobacterium myosotis,97.31
OTU_90,Bifidobacterium saguini,OTU90 Bifidobacterium saguini,97.8
OTU_100,Bifidobacterium reuteri,OTU100 Bifidobacterium reuteri,96.84
OTU_102,Prevotella sp.,OTU102 Prevotella sp.,83.02
OTU_129,Bifidobacterium hapali,OTU129 Bifidobacterium hapali,97.32
OTU_136,Megamonas sp.,OTU136 Megamonas sp.,96.97
OTU_137,Bacteroides faecis,OTU137 Bacteroides faecis,99.29
OTU_145,Bifidobacterium avesanii,OTU145 Bifidobacterium avesanii,97.8
OTU_148,Citrobacter portucalensis,OTU148 Citrobacter portucalensis,100
